rank,category,strategy_name,description,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,num_trades,composite_score,parameters
1,unknown,Single_SMA_50_M1_position,Unknown strategy on M1,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M1', 'signal_type': 'position'}"
2,unknown,Single_SMA_50_M2_position,Unknown strategy on M2,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M2', 'signal_type': 'position'}"
3,unknown,Single_SMA_50_M3_position,Unknown strategy on M3,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M3', 'signal_type': 'position'}"
4,unknown,Single_SMA_50_M5_position,Unknown strategy on M5,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M5', 'signal_type': 'position'}"
5,unknown,Single_SMA_50_M10_position,Unknown strategy on M10,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M10', 'signal_type': 'position'}"
6,unknown,Single_SMA_50_M15_position,Unknown strategy on M15,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M15', 'signal_type': 'position'}"
7,unknown,Single_SMA_50_M30_position,Unknown strategy on M30,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M30', 'signal_type': 'position'}"
8,unknown,Single_SMA_50_H1_position,Unknown strategy on H1,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H1', 'signal_type': 'position'}"
9,unknown,Single_SMA_50_H2_position,Unknown strategy on H2,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H2', 'signal_type': 'position'}"
10,unknown,Single_SMA_50_H4_position,Unknown strategy on H4,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H4', 'signal_type': 'position'}"
11,unknown,Single_SMA_50_H6_position,Unknown strategy on H6,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H6', 'signal_type': 'position'}"
12,unknown,Single_SMA_50_H8_position,Unknown strategy on H8,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H8', 'signal_type': 'position'}"
13,unknown,Single_SMA_50_H12_position,Unknown strategy on H12,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H12', 'signal_type': 'position'}"
